method,pf,pm,td,detected,det_H25,det_H50,det_H100,mean_logBIR,max_logBIR,rep_id,job_id,scenario_id,block_id,rep_start,rep_end,study,fault_type,step_delta,w_roll,gamma_online,online_contamination,offline_contamination,eps_offline,alpha_adaptive,c_liu_T2,c_class_roll,c_rrh_075,c_rrh_085,c_rrh_adaptive
RRH_FD_085,0.04899777282850779,0.9347101932045303,15,1,1,1,1,-2.7335253361298017e-4,0.3193170228490896,11,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
RRH_FD_adaptive,0.042316258351893093,0.9413724183877415,15,1,1,1,1,-0.02855517260608292,0.3169437264112043,11,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
Liu_F_offline,0.062360801781737196,0.8920719520319786,5,1,1,1,1,0.08145878274370495,0.6067010174500993,12,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
Classical_Rolling,0.042316258351893093,0.9560293137908061,10,1,1,1,1,0.08145878274370495,0.6067010174500993,12,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
RRH_FD_075,0.044543429844097995,0.9506995336442372,10,1,1,1,1,0.19662984013301718,0.785921523724527,12,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
RRH_FD_085,0.051224944320712694,0.9520319786808794,10,1,1,1,1,0.14241909972021416,0.6141899628172567,12,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
RRH_FD_adaptive,0.044543429844097995,0.9540306462358428,10,1,1,1,1,0.08145878274370495,0.6067010174500993,12,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
Liu_F_offline,0.028953229398663696,0.9706862091938707,19,1,1,1,1,0.05257208747035645,0.48767904272661955,13,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
Classical_Rolling,0.0467706013363029,0.9526982011992006,2,1,1,1,1,0.05257208747035645,0.48767904272661955,13,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
RRH_FD_075,0.051224944320712694,0.950033311125916,10,1,1,1,1,0.10347025469238198,0.7718240324572676,13,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
RRH_FD_085,0.060133630289532294,0.9433710859427049,10,1,1,1,1,0.06931744250338273,0.7623589096790839,13,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
RRH_FD_adaptive,0.060133630289532294,0.9493670886075949,10,1,1,1,1,0.05257208747035645,0.48767904272661955,13,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
Liu_F_offline,0.053452115812917596,0.8307794803464357,9,1,1,1,1,0.06787865409528719,0.7022141471424579,14,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
Classical_Rolling,0.051224944320712694,0.9420386409060626,2,1,1,1,1,0.06787865409528719,0.7022141471424579,14,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
RRH_FD_075,0.0400890868596882,0.944037308461026,2,1,1,1,1,0.13955986491787206,0.7077376779712221,14,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
